usr_login,usr_mdp,nom,prenom,est_etudiant,est_retraite
stephane.gillet,gillet555,Gillet,Stéphane,FALSE,FALSE
tiffany.charpentier,charpentier666,Charpentier,Tiffany,TRUE,FALSE
ulysse.maillard,maillard777,Maillard,Ulysse,FALSE,FALSE
vanessa.leriche,leriche888,Leriche,Vanessa,FALSE,TRUE
willy.moulin,moulin999,Moulin,Willy,FALSE,FALSE
xena.bertin,bertin000,Bertin,Xena,TRUE,FALSE
yannick.tanguy,tanguy111,Tanguy,Yannick,FALSE,FALSE
zoey.giraud,giraud222,Giraud,Zoey,TRUE,FALSE
jeanne.sanchez,sanchez718,Sanchez,Jeanne,FALSE,TRUE
camille.ferrand,ferrand257,Ferrand,Camille,TRUE,FALSE
manon.tanguy,tanguy321,Tanguy,Manon,FALSE,TRUE
valérie.rossi,rossi997,Rossi,Valérie,TRUE,FALSE
alexandrie.joseph,joseph181,Joseph,Alexandrie,FALSE,TRUE
andrée.rossi,rossi942,Rossi,Andrée,TRUE,TRUE
gilles.dias,dias980,Dias,Gilles,TRUE,TRUE
éric.schmitt,schmitt131,Schmitt,Éric,FALSE,FALSE
lucas.rousseau,rousseau967,Rousseau,Lucas,FALSE,TRUE
audrey.faivre,faivre832,Faivre,Audrey,TRUE,FALSE
paulette.lopez,lopez144,Lopez,Paulette,TRUE,TRUE
léon.gomes,gomes809,Gomes,Léon,TRUE,FALSE
capucine.lefebvre,lefebvre790,Lefebvre,Capucine,FALSE,TRUE
élisabeth.leleu,leleu548,Leleu,Élisabeth,FALSE,TRUE
adrienne.noël,noël499,Noël,Adrienne,TRUE,TRUE
andré.carre,carre645,Carre,André,TRUE,FALSE
margot.rolland,rolland137,Rolland,Margot,FALSE,TRUE
renée.chartier,chartier465,Chartier,Renée,TRUE,TRUE
anastasie.rodriguez,rodriguez178,Rodriguez,Anastasie,FALSE,TRUE
gabrielle.pierre,pierre985,Pierre,Gabrielle,TRUE,FALSE
frédéric.verdier,verdier446,Verdier,Frédéric,FALSE,TRUE
louise.carre,carre468,Carre,Louise,TRUE,TRUE
virginie.munoz,munoz639,Munoz,Virginie,FALSE,FALSE
claire.lombard,lombard897,Lombard,Claire,TRUE,FALSE
patrick.jacquet,jacquet728,Jacquet,Patrick,FALSE,FALSE
antoinette.hamel,hamel806,Hamel,Antoinette,TRUE,FALSE
michelle.bousquet,bousquet914,Bousquet,Michelle,TRUE,TRUE
monique.weiss,weiss989,Weiss,Monique,FALSE,FALSE
georges.garnier,garnier420,Garnier,Georges,TRUE,TRUE
antoinette.laurent,laurent900,Laurent,Antoinette,TRUE,TRUE
françoise.lucas,lucas140,Lucas,Françoise,TRUE,FALSE
rené.laporte,laporte816,Laporte,René,TRUE,TRUE
robert.blanc,blanc651,Blanc,Robert,FALSE,FALSE
daniel.gaudin,gaudin225,Gaudin,Daniel,FALSE,TRUE
gérard.guillet,guillet830,Guillet,Gérard,TRUE,FALSE
adèle.jean,jean852,Jean,Adèle,FALSE,TRUE
jules.charles,charles290,Charles,Jules,TRUE,TRUE
michelle.weber,weber807,Weber,Michelle,TRUE,TRUE
corinne.gomez,gomez612,Gomez,Corinne,TRUE,TRUE
alice.cousin,cousin918,Cousin,Alice,FALSE,FALSE
zacharie.dupont,dupont719,Dupont,Zacharie,TRUE,TRUE
noémi.martineau,martineau615,Martineau,Noémi,TRUE,TRUE
hortense.pasquier,pasquier705,Pasquier,Hortense,FALSE,FALSE
sébastien.albert,albert272,Albert,Sébastien,TRUE,TRUE
alix.jacquet,jacquet333,Jacquet,Alix,FALSE,TRUE
alexandria.reynaud,reynaud851,Reynaud,Alexandria,FALSE,TRUE
suzanne.rodrigues,rodrigues617,Rodrigues,Suzanne,FALSE,FALSE
mathilde.nicolas,nicolas582,Nicolas,Mathilde,FALSE,FALSE
aurore.hoarau,hoarau579,Hoarau,Aurore,TRUE,TRUE
benjamin.lopes,lopes395,Lopes,Benjamin,TRUE,TRUE
zacharie.paul,paul272,Paul,Zacharie,TRUE,TRUE
claire.vidal,vidal678,Vidal,Claire,FALSE,TRUE
lucas.dupuy,dupuy583,Dupuy,Lucas,TRUE,TRUE
hélène.labbé,labbé522,Labbé,Hélène,TRUE,TRUE
michelle.giraud,giraud782,Giraud,Michelle,TRUE,TRUE
colette.lebreton,lebreton529,Lebreton,Colette,FALSE,TRUE
suzanne.gillet,gillet606,Gillet,Suzanne,FALSE,TRUE
juliette.dufour,dufour291,Dufour,Juliette,FALSE,FALSE
adélaïde.renault,renault682,Renault,Adélaïde,FALSE,FALSE
jeannine.faivre,faivre828,Faivre,Jeannine,TRUE,FALSE
odette.gros,gros417,Gros,Odette,FALSE,FALSE
zacharie.marchand,marchand663,Marchand,Zacharie,TRUE,TRUE
joséphine.teixeira,teixeira123,Teixeira,Joséphine,FALSE,FALSE
louis.lacroix,lacroix374,Lacroix,Louis,TRUE,FALSE
augustin.hernandez,hernandez833,Hernandez,Augustin,TRUE,TRUE
pierre.valentin,valentin994,Valentin,Pierre,FALSE,FALSE
julie.morin,morin374,Morin,Julie,FALSE,TRUE
jeannine.bouvet,bouvet804,Bouvet,Jeannine,TRUE,FALSE
margaret.foucher,foucher938,Foucher,Margaret,FALSE,FALSE
laetitia.boulay,boulay661,Boulay,Laetitia,TRUE,TRUE
christine.descamps,descamps856,Descamps,Christine,FALSE,TRUE
édouard.besson,besson930,Besson,Édouard,TRUE,FALSE
monique.étienne,étienne705,Étienne,Monique,TRUE,FALSE
océane.legendre,legendre230,Legendre,Océane,FALSE,TRUE
alfred.leroux,leroux314,Leroux,Alfred,TRUE,FALSE
agathe.ferrand,ferrand475,Ferrand,Agathe,TRUE,TRUE
suzanne.le roux,le roux874,Le Roux,Suzanne,FALSE,FALSE
laurent.gay,gay736,Gay,Laurent,FALSE,FALSE
théodore.langlois,langlois774,Langlois,Théodore,TRUE,FALSE
anastasie.roux,roux699,Roux,Anastasie,FALSE,FALSE
suzanne.lenoir,lenoir622,Lenoir,Suzanne,FALSE,TRUE
zoé.duhamel,duhamel133,Duhamel,Zoé,TRUE,FALSE
philippine.le gall,le gall483,Le Gall,Philippine,TRUE,FALSE
michelle.labbé,labbé605,Labbé,Michelle,TRUE,TRUE
julie.hoareau,hoareau417,Hoareau,Julie,FALSE,TRUE
cécile.hubert,hubert883,Hubert,Cécile,FALSE,TRUE
alfred.bouchet,bouchet151,Bouchet,Alfred,FALSE,FALSE
margot.jourdan,jourdan218,Jourdan,Margot,TRUE,FALSE
alphonse.valentin,valentin547,Valentin,Alphonse,FALSE,FALSE
thibault.hoarau,hoarau675,Hoarau,Thibault,TRUE,TRUE
roger.maury,maury145,Maury,Roger,FALSE,FALSE
alix.robert,robert956,Robert,Alix,TRUE,FALSE
hugues.vasseur,vasseur160,Vasseur,Hugues,FALSE,TRUE
julie.valette,valette428,Valette,Julie,FALSE,TRUE
lucie.lucas,lucas908,Lucas,Lucie,FALSE,TRUE
christophe.colin,colin647,Colin,Christophe,TRUE,FALSE
laurent.toussaint,toussaint393,Toussaint,Laurent,FALSE,FALSE
bernadette.lebreton,lebreton780,Lebreton,Bernadette,TRUE,FALSE
victoire.carre,carre474,Carre,Victoire,FALSE,TRUE
isaac.millet,millet853,Millet,Isaac,FALSE,TRUE
philippe.caron,caron925,Caron,Philippe,TRUE,TRUE
céline.lenoir,lenoir910,Lenoir,Céline,FALSE,TRUE
daniel.voisin,voisin190,Voisin,Daniel,FALSE,FALSE
océane.normand,normand611,Normand,Océane,FALSE,TRUE
thibault.regnier,regnier380,Regnier,Thibault,TRUE,TRUE
élise.brunel,brunel720,Brunel,Élise,TRUE,TRUE
manon.lefort,lefort361,Lefort,Manon,FALSE,TRUE
benoît.lopez,lopez583,Lopez,Benoît,TRUE,TRUE
dorothée.delmas,delmas749,Delmas,Dorothée,TRUE,TRUE
david.turpin,turpin831,Turpin,David,TRUE,TRUE
pénélope.thibault,thibault568,Thibault,Pénélope,FALSE,FALSE
olivier.lacombe,lacombe338,Lacombe,Olivier,FALSE,FALSE
margaret.jacques,jacques180,Jacques,Margaret,FALSE,FALSE
agathe.lecoq,lecoq436,Lecoq,Agathe,FALSE,TRUE
margot.roussel,roussel419,Roussel,Margot,TRUE,TRUE
bernard.renard,renard576,Renard,Bernard,FALSE,FALSE
émile.simon,simon652,Simon,Émile,TRUE,TRUE
arnaude.dupont,dupont318,Dupont,Arnaude,TRUE,TRUE
patricia.duhamel,duhamel728,Duhamel,Patricia,TRUE,FALSE
lucy.vallée,vallée685,Vallée,Lucy,TRUE,FALSE
madeleine.breton,breton371,Breton,Madeleine,TRUE,TRUE
caroline.giraud,giraud236,Giraud,Caroline,FALSE,TRUE
nicolas.richard,richard419,Richard,Nicolas,TRUE,FALSE
alexandrie.lambert,lambert558,Lambert,Alexandrie,TRUE,TRUE
thibaut.lombard,lombard789,Lombard,Thibaut,FALSE,FALSE
thibault.pires,pires233,Pires,Thibault,FALSE,FALSE
luce.munoz,munoz305,Munoz,Luce,TRUE,FALSE
philippe.toussaint,toussaint186,Toussaint,Philippe,TRUE,TRUE
noémi.gimenez,gimenez200,Gimenez,Noémi,TRUE,TRUE
célina.lombard,lombard121,Lombard,Célina,FALSE,TRUE
victoire.masson,masson405,Masson,Victoire,TRUE,FALSE
grégoire.monnier,monnier764,Monnier,Grégoire,TRUE,TRUE
auguste.renault,renault420,Renault,Auguste,FALSE,FALSE
isabelle.pruvost,pruvost503,Pruvost,Isabelle,FALSE,TRUE
marc.roche,roche871,Roche,Marc,FALSE,FALSE
claude.vaillant,vaillant413,Vaillant,Claude,FALSE,FALSE
adélaïde.barre,barre145,Barre,Adélaïde,FALSE,TRUE
martine.voisin,voisin215,Voisin,Martine,TRUE,TRUE
audrey.dupuis,dupuis648,Dupuis,Audrey,TRUE,TRUE
jacqueline.moulin,moulin696,Moulin,Jacqueline,TRUE,FALSE
alice.albert,albert412,Albert,Alice,TRUE,FALSE
stéphane.dumont,dumont991,Dumont,Stéphane,TRUE,TRUE
franck.lopes,lopes780,Lopes,Franck,TRUE,FALSE
susan.bouvier,bouvier469,Bouvier,Susan,TRUE,TRUE
josette.leduc,leduc588,Leduc,Josette,TRUE,FALSE
élodie.ferreira,ferreira666,Ferreira,Élodie,FALSE,TRUE
stéphane.lucas,lucas896,Lucas,Stéphane,FALSE,FALSE
capucine.wagner,wagner782,Wagner,Capucine,TRUE,TRUE
marianne.legros,legros529,Legros,Marianne,TRUE,TRUE
gabrielle.vallée,vallée225,Vallée,Gabrielle,FALSE,FALSE
adélaïde.baudry,baudry603,Baudry,Adélaïde,TRUE,FALSE
isaac.chauvet,chauvet598,Chauvet,Isaac,FALSE,TRUE
françoise.perrier,perrier901,Perrier,Françoise,TRUE,FALSE
aurore.morin,morin913,Morin,Aurore,FALSE,TRUE
claude.hoareau,hoareau201,Hoareau,Claude,TRUE,FALSE
roland.maréchal,maréchal752,Maréchal,Roland,FALSE,TRUE
hortense.riou,riou865,Riou,Hortense,TRUE,FALSE
susan.hamel,hamel217,Hamel,Susan,FALSE,TRUE
hugues.roussel,roussel923,Roussel,Hugues,TRUE,TRUE
arnaude.lejeune,lejeune174,Lejeune,Arnaude,TRUE,TRUE
françois.rey,rey154,Rey,François,TRUE,FALSE
henriette.turpin,turpin769,Turpin,Henriette,FALSE,FALSE
olivier.blanchard,blanchard345,Blanchard,Olivier,TRUE,FALSE
madeleine.barbe,barbe373,Barbe,Madeleine,TRUE,FALSE
jules.mahe,mahe302,Mahe,Jules,FALSE,TRUE
anne.gauthier,gauthier285,Gauthier,Anne,FALSE,TRUE
suzanne.michel,michel854,Michel,Suzanne,FALSE,TRUE
adélaïde.mercier,mercier120,Mercier,Adélaïde,TRUE,FALSE
thibaut.chauveau,chauveau827,Chauveau,Thibaut,FALSE,TRUE
augustin.pons,pons924,Pons,Augustin,FALSE,FALSE
margaux.jacob,jacob800,Jacob,Margaux,FALSE,FALSE
élisabeth.rivière,rivière609,Rivière,Élisabeth,TRUE,TRUE
marianne.hamon,hamon128,Hamon,Marianne,TRUE,FALSE
alain.marchal,marchal639,Marchal,Alain,TRUE,FALSE
marguerite.gaudin,gaudin200,Gaudin,Marguerite,FALSE,FALSE
louis.bouvet,bouvet880,Bouvet,Louis,FALSE,FALSE
honoré.delannoy,delannoy255,Delannoy,Honoré,TRUE,FALSE
aimé.pruvost,pruvost336,Pruvost,Aimé,TRUE,TRUE
hugues.marion,marion776,Marion,Hugues,FALSE,FALSE
denis.gauthier,gauthier121,Gauthier,Denis,FALSE,TRUE
noémi.jacquot,jacquot607,Jacquot,Noémi,FALSE,TRUE
jules.sanchez,sanchez441,Sanchez,Jules,TRUE,FALSE
valentine.lelièvre,lelièvre327,Lelièvre,Valentine,FALSE,FALSE
christophe.roux,roux305,Roux,Christophe,TRUE,TRUE
monique.perrot,perrot587,Perrot,Monique,TRUE,FALSE
astrid.hoareau,hoareau976,Hoareau,Astrid,FALSE,FALSE
éric.costa,costa581,Costa,Éric,TRUE,FALSE
isabelle.bernard,bernard866,Bernard,Isabelle,FALSE,FALSE
marianne.dupré,dupré382,Dupré,Marianne,FALSE,FALSE
paul.weber,weber319,Weber,Paul,TRUE,TRUE
matthieu.weber,weber686,Weber,Matthieu,FALSE,TRUE
robert.antoine,antoine436,Antoine,Robert,FALSE,TRUE
célina.fischer,fischer308,Fischer,Célina,FALSE,TRUE
mathilde.françois,françois840,François,Mathilde,FALSE,FALSE
yves.imbert,imbert191,Imbert,Yves,TRUE,TRUE
anouk.leblanc,leblanc158,Leblanc,Anouk,FALSE,TRUE
martin.verdier,verdier949,Verdier,Martin,FALSE,FALSE
françois.collin,collin537,Collin,François,TRUE,FALSE
henriette.petitjean,petitjean322,Petitjean,Henriette,FALSE,TRUE
juliette.dumas,dumas947,Dumas,Juliette,TRUE,TRUE
théodore.valentin,valentin747,Valentin,Théodore,FALSE,FALSE
alexandrie.boulanger,boulanger668,Boulanger,Alexandrie,TRUE,FALSE
thomas.grondin,grondin748,Grondin,Thomas,FALSE,TRUE
olivie.richard,richard496,Richard,Olivie,FALSE,TRUE
margaret.blot,blot173,Blot,Margaret,FALSE,FALSE
adrienne.leroy,leroy209,Leroy,Adrienne,TRUE,FALSE
stéphanie.aubry,aubry959,Aubry,Stéphanie,TRUE,TRUE
céline.delmas,delmas520,Delmas,Céline,FALSE,TRUE
zacharie.thibault,thibault775,Thibault,Zacharie,TRUE,TRUE
agnès.gros,gros880,Gros,Agnès,TRUE,FALSE
alfred.marchal,marchal905,Marchal,Alfred,FALSE,FALSE
célina.techer,techer963,Techer,Célina,TRUE,TRUE
roland.ramos,ramos668,Ramos,Roland,FALSE,FALSE
théodore.huet,huet644,Huet,Théodore,TRUE,TRUE
virginie.diaz,diaz288,Diaz,Virginie,FALSE,TRUE
arthur.charpentier,charpentier679,Charpentier,Arthur,TRUE,TRUE
aimé.hebert,hebert896,Hebert,Aimé,FALSE,FALSE
jacqueline.martin,martin114,Martin,Jacqueline,TRUE,FALSE
suzanne.payet,payet258,Payet,Suzanne,FALSE,FALSE
laure.breton,breton564,Breton,Laure,TRUE,FALSE
alexandre.ferreira,ferreira432,Ferreira,Alexandre,FALSE,TRUE
odette.legendre,legendre780,Legendre,Odette,TRUE,FALSE
célina.riou,riou926,Riou,Célina,FALSE,TRUE
jules.martin,martin406,Martin,Jules,TRUE,TRUE
rémy.aubert,aubert599,Aubert,Rémy,FALSE,FALSE
marguerite.dupont,dupont399,Dupont,Marguerite,TRUE,FALSE
gabrielle.maury,maury737,Maury,Gabrielle,FALSE,TRUE
philippe.raynaud,raynaud265,Raynaud,Philippe,FALSE,TRUE
charles.jacquot,jacquot664,Jacquot,Charles,TRUE,FALSE
christelle.imbert,imbert284,Imbert,Christelle,FALSE,TRUE
yves.guillon,guillon498,Guillon,Yves,TRUE,TRUE
richard.chartier,chartier364,Chartier,Richard,FALSE,TRUE
édith.gimenez,gimenez331,Gimenez,Édith,FALSE,TRUE
guillaume.dupuy,dupuy886,Dupuy,Guillaume,TRUE,FALSE
édith.masson,masson819,Masson,Édith,FALSE,TRUE
charlotte.normand,normand625,Normand,Charlotte,TRUE,FALSE
valérie.guichard,guichard397,Guichard,Valérie,FALSE,TRUE
lucy.lefebvre,lefebvre706,Lefebvre,Lucy,FALSE,TRUE
guy.grenier,grenier994,Grenier,Guy,FALSE,TRUE
grégoire.leblanc,leblanc400,Leblanc,Grégoire,TRUE,TRUE
adrienne.teixeira,teixeira777,Teixeira,Adrienne,FALSE,TRUE
honoré.dias,dias254,Dias,Honoré,TRUE,FALSE
camille.lemaître,lemaître266,Lemaître,Camille,FALSE,FALSE
christiane.carpentier,carpentier422,Carpentier,Christiane,FALSE,FALSE
claudine.robin,robin269,Robin,Claudine,TRUE,TRUE
hélène.bertrand,bertrand558,Bertrand,Hélène,FALSE,FALSE
bertrand.marion,marion269,Marion,Bertrand,TRUE,TRUE
martine.allard,allard506,Allard,Martine,FALSE,FALSE
alexandrie.fischer,fischer575,Fischer,Alexandrie,FALSE,TRUE
anastasie.bonnin,bonnin491,Bonnin,Anastasie,TRUE,TRUE
henriette.robin,robin755,Robin,Henriette,TRUE,TRUE
danielle.roche,roche928,Roche,Danielle,TRUE,FALSE
émilie.pierre,pierre686,Pierre,Émilie,TRUE,TRUE
alexandria.morvan,morvan706,Morvan,Alexandria,TRUE,FALSE
aurore.voisin,voisin580,Voisin,Aurore,TRUE,TRUE
emmanuel.baudry,baudry567,Baudry,Emmanuel,FALSE,FALSE
jeannine.traore,traore396,Traore,Jeannine,FALSE,TRUE
zacharie.blin,blin486,Blin,Zacharie,FALSE,FALSE
guy.étienne,étienne495,Étienne,Guy,TRUE,TRUE
frédéric.charrier,charrier327,Charrier,Frédéric,FALSE,TRUE
rené.legendre,legendre122,Legendre,René,FALSE,TRUE
audrey.hardy,hardy280,Hardy,Audrey,TRUE,FALSE
lucie.bourgeois,bourgeois607,Bourgeois,Lucie,FALSE,FALSE
augustin.baron,baron546,Baron,Augustin,TRUE,TRUE
gilles.carre,carre159,Carre,Gilles,FALSE,FALSE
marianne.toussaint,toussaint928,Toussaint,Marianne,TRUE,FALSE
élodie.guyot,guyot927,Guyot,Élodie,TRUE,FALSE
paul.lebreton,lebreton340,Lebreton,Paul,FALSE,TRUE
michelle.robert,robert923,Robert,Michelle,FALSE,TRUE
constance.pruvost,pruvost823,Pruvost,Constance,FALSE,TRUE
andré.besnard,besnard521,Besnard,André,FALSE,TRUE
luc.berger,berger425,Berger,Luc,TRUE,FALSE
sabine.jacquot,jacquot322,Jacquot,Sabine,TRUE,TRUE
astrid.techer,techer820,Techer,Astrid,TRUE,FALSE
laetitia.blanc,blanc125,Blanc,Laetitia,FALSE,TRUE
émilie.auger,auger868,Auger,Émilie,TRUE,TRUE
guillaume.pineau,pineau363,Pineau,Guillaume,TRUE,TRUE
benoît.dijoux,dijoux833,Dijoux,Benoît,TRUE,TRUE
astrid.denis,denis297,Denis,Astrid,FALSE,TRUE
juliette.girard,girard880,Girard,Juliette,FALSE,FALSE
agathe.faure,faure778,Faure,Agathe,FALSE,TRUE
anastasie.rossi,rossi651,Rossi,Anastasie,FALSE,FALSE
noël.marty,marty491,Marty,Noël,TRUE,FALSE
thibaut.masson,masson968,Masson,Thibaut,TRUE,FALSE
valérie.brun,brun916,Brun,Valérie,FALSE,TRUE
nicolas.guibert,guibert180,Guibert,Nicolas,TRUE,FALSE
josette.millet,millet247,Millet,Josette,TRUE,TRUE
anaïs.reynaud,reynaud499,Reynaud,Anaïs,TRUE,FALSE
bernadette.blanc,blanc832,Blanc,Bernadette,TRUE,TRUE
joséphine.poirier,poirier549,Poirier,Joséphine,TRUE,TRUE
bernadette.maréchal,maréchal689,Maréchal,Bernadette,FALSE,FALSE
maggie.robert,robert507,Robert,Maggie,FALSE,FALSE
alexandrie.chauveau,chauveau394,Chauveau,Alexandrie,TRUE,FALSE
olivier.durand,durand600,Durand,Olivier,TRUE,TRUE
océane.ollivier,ollivier452,Ollivier,Océane,TRUE,TRUE
lorraine.marchal,marchal175,Marchal,Lorraine,TRUE,TRUE
marcelle.tessier,tessier552,Tessier,Marcelle,TRUE,FALSE
joséphine.noël,noël927,Noël,Joséphine,FALSE,TRUE
noël.bonneau,bonneau175,Bonneau,Noël,TRUE,FALSE
marguerite.faivre,faivre194,Faivre,Marguerite,FALSE,FALSE
henri.morin,morin112,Morin,Henri,TRUE,FALSE
adrien.buisson,buisson677,Buisson,Adrien,FALSE,FALSE
julie.rossi,rossi117,Rossi,Julie,FALSE,FALSE
xavier.coulon,coulon674,Coulon,Xavier,TRUE,TRUE
dorothée.moreno,moreno651,Moreno,Dorothée,TRUE,FALSE
andré.marchal,marchal504,Marchal,André,TRUE,FALSE
nathalie.langlois,langlois102,Langlois,Nathalie,FALSE,FALSE
isaac.adam,adam758,Adam,Isaac,TRUE,FALSE
jérôme.joly,joly890,Joly,Jérôme,TRUE,FALSE
richard.courtois,courtois102,Courtois,Richard,TRUE,FALSE
arthur.gilles,gilles896,Gilles,Arthur,FALSE,FALSE
roland.andre,andre461,Andre,Roland,TRUE,TRUE
françoise.fournier,fournier747,Fournier,Françoise,TRUE,TRUE
franck.vincent,vincent396,Vincent,Franck,TRUE,FALSE
patricia.gay,gay860,Gay,Patricia,TRUE,TRUE
gabriel.allard,allard767,Allard,Gabriel,FALSE,TRUE
laurence.jean,jean330,Jean,Laurence,FALSE,FALSE
jeanne.baron,baron665,Baron,Jeanne,TRUE,FALSE
philippe.lesage,lesage856,Lesage,Philippe,FALSE,TRUE
yves.weiss,weiss303,Weiss,Yves,FALSE,TRUE
margot.chrétien,chrétien269,Chrétien,Margot,FALSE,TRUE
auguste.guillon,guillon893,Guillon,Auguste,TRUE,FALSE
bernadette.mary,mary281,Mary,Bernadette,TRUE,FALSE
henri.boutin,boutin958,Boutin,Henri,FALSE,TRUE
émile.lebreton,lebreton158,Lebreton,Émile,FALSE,TRUE
luc.pires,pires140,Pires,Luc,TRUE,FALSE
isabelle.leclerc,leclerc124,Leclerc,Isabelle,FALSE,FALSE
christiane.fournier,fournier934,Fournier,Christiane,TRUE,FALSE
agnès.vaillant,vaillant258,Vaillant,Agnès,TRUE,TRUE
richard.barbe,barbe115,Barbe,Richard,FALSE,FALSE
corinne.guilbert,guilbert731,Guilbert,Corinne,FALSE,TRUE
laetitia.laurent,laurent501,Laurent,Laetitia,TRUE,FALSE
gabrielle.fleury,fleury451,Fleury,Gabrielle,FALSE,TRUE
augustin.albert,albert153,Albert,Augustin,FALSE,FALSE
charles.leroux,leroux863,Leroux,Charles,TRUE,FALSE
zacharie.bodin,bodin673,Bodin,Zacharie,TRUE,FALSE
lucie.besnard,besnard428,Besnard,Lucie,TRUE,FALSE
martin.robin,robin912,Robin,Martin,FALSE,FALSE
constance.marchand,marchand373,Marchand,Constance,TRUE,FALSE
roger.delahaye,delahaye112,Delahaye,Roger,TRUE,TRUE
luc.faivre,faivre761,Faivre,Luc,TRUE,FALSE
susanne.olivier,olivier560,Olivier,Susanne,FALSE,FALSE
adrien.le gall,le gall290,Le Gall,Adrien,FALSE,FALSE
henri.courtois,courtois372,Courtois,Henri,TRUE,FALSE
emmanuel.seguin,seguin132,Seguin,Emmanuel,FALSE,TRUE
stéphanie.peltier,peltier891,Peltier,Stéphanie,FALSE,FALSE
thibaut.lamy,lamy684,Lamy,Thibaut,TRUE,TRUE
marie.diaz,diaz990,Diaz,Marie,FALSE,TRUE
étienne.thibault,thibault400,Thibault,Étienne,TRUE,TRUE
benoît.dos santos,dos santos780,Dos Santos,Benoît,FALSE,TRUE
grégoire.guilbert,guilbert201,Guilbert,Grégoire,TRUE,TRUE
alphonse.lemoine,lemoine993,Lemoine,Alphonse,TRUE,TRUE
inès.meyer,meyer321,Meyer,Inès,FALSE,TRUE
marguerite.courtois,courtois636,Courtois,Marguerite,TRUE,TRUE
stéphanie.pruvost,pruvost715,Pruvost,Stéphanie,TRUE,FALSE
patrick.fontaine,fontaine553,Fontaine,Patrick,TRUE,TRUE
victor.lacroix,lacroix632,Lacroix,Victor,FALSE,FALSE
maurice.petitjean,petitjean251,Petitjean,Maurice,FALSE,FALSE
roland.bourgeois,bourgeois868,Bourgeois,Roland,FALSE,TRUE
brigitte.torres,torres466,Torres,Brigitte,FALSE,TRUE
julien.gimenez,gimenez452,Gimenez,Julien,FALSE,TRUE
andré.hamon,hamon679,Hamon,André,FALSE,FALSE
chantal.pichon,pichon632,Pichon,Chantal,FALSE,FALSE
thérèse.duval,duval546,Duval,Thérèse,FALSE,FALSE
michelle.denis,denis270,Denis,Michelle,TRUE,FALSE
gabriel.sauvage,sauvage692,Sauvage,Gabriel,FALSE,FALSE
manon.dupuy,dupuy966,Dupuy,Manon,TRUE,TRUE
honoré.teixeira,teixeira897,Teixeira,Honoré,FALSE,TRUE
stéphanie.peron,peron726,Peron,Stéphanie,FALSE,TRUE
emmanuel.pages,pages602,Pages,Emmanuel,FALSE,TRUE
